model,condition,mae,rmse,r2,mape,mbe
lstm,Overall (0h-24h),0.49997040518680974,0.8000246736377417,0.8689412796150661,16.6713683967823,0.3767552792693344
lstm,Peak Hours (10h-14h),0.8504202580266298,1.1517099680817713,0.7116378759484845,15.557170192239072,0.7503555976410716
bilstm,Overall (0h-24h),0.34844229634359525,0.6015933350427746,0.9258919829161927,13.608755557213922,0.05233104046806435
bilstm,Peak Hours (10h-14h),0.5326522522326517,0.8394702152654838,0.8467986655917428,10.75625437035356,0.10873602770142636
attention_lstm,Overall (0h-24h),0.3336170030619516,0.5611510168985215,0.9355209442018987,13.217456251896554,0.06938412281288252
attention_lstm,Peak Hours (10h-14h),0.5070411871727923,0.778608508358331,0.8682076339384934,10.180309029752967,0.1380611141832171
